n1,n_id,g1,g2,g3,g4,g5,g6,l1,l2,l3,l4,ppm
2,1,0,6,0,0,0.468565,0.193416,0,0.193416,0,0.468565,-653.012879468589
2,1,0,6,0,0,0.468565,0.193416,0,0.193416,0,0.468565,-652.05966590036
2,2,0,6,0,0,1,1,0,1,0,1,-652.365837104265
2,2,0,6,0,0,1,1,0,1,0,1,-652.367707164789
2,3,1,5,0.468565,1,0.468565,1,1,1,0.468565,0.468565,-658.0605591031
2,3,1,5,0.468565,1,0.468565,1,1,1,0.468565,0.468565,-658.060566878657
3,1,0,6,0,0,0.64571,0.346974,0,0.363579,0,0.734282,-650.868274164613
3,1,0,6,0,0,0.64571,0.346974,0,0.363579,0,0.734282,-650.868617190995
3,1,0,6,0,0,0.64571,0.346974,0,0.313765,0,0.468565,-651.097612285513
3,2,0,6,0,0,0.468565,-0.122682,0,-0.171476,0,0.468565,-650.413062799903
3,2,0,6,0,0,0.468565,-0.122682,0,0.091813,0,0.468565,-650.412660654739
3,2,0,6,0,0,0.468565,-0.122682,0,-0.288384,0,0.468565,-650.549093265333
3,3,0.666667,5.333333,0.312376,0.666667,0.468565,-0.072615,1,0.035676,0.468565,0.468565,-656.596935573829
3,3,0.666667,5.333333,0.312376,0.666667,0.468565,-0.072615,1,0.035676,0.468565,0.468565,-656.597068351611
3,3,0.666667,5.333333,0.312376,0.666667,0.468565,-0.072615,0,-0.289198,0,0.468565,-651.004300113264
3,4,0.666667,5.333333,0.312376,0.666667,0.64571,0.562442,1,0.612883,0.468565,0.468565,-656.594247818485
3,4,0.666667,5.333333,0.312376,0.666667,0.64571,0.562442,1,0.523492,0.468565,0.734282,-656.855015050257
3,4,0.666667,5.333333,0.312376,0.666667,0.64571,0.562442,0,0.55095,0,0.734282,-650.668097740848
3,5,1.333333,4.666667,0.468565,0.813401,0.468565,0.366649,0.813401,0.475266,0.468565,0.468565,-662.35746231171
3,5,1.333333,4.666667,0.468565,0.813401,0.468565,0.366649,0.813401,0.391973,0.468565,0.468565,-657.357753140525
3,5,1.333333,4.666667,0.468565,0.813401,0.468565,0.366649,0.813401,0.232707,0.468565,0.468565,-657.347733955447
3,6,1.333333,4.666667,0.468565,1,0.64571,1,1,1,0.468565,0.734282,-657.192839488699
3,6,1.333333,4.666667,0.468565,1,0.64571,1,1,1,0.468565,0.734282,-657.192466193586
3,6,1.333333,4.666667,0.468565,1,0.64571,1,1,1,0.468565,0.468565,-663.476289913253
3,7,2,4,0.468565,0.74428,0.468565,0.74428,0.74428,0.74428,0.468565,0.468565,-654.44066091722
3,7,2,4,0.468565,0.74428,0.468565,0.74428,0.74428,0.74428,0.468565,0.468565,-654.434837542738
3,7,2,4,0.468565,0.74428,0.468565,0.74428,0.74428,0.74428,0.468565,0.468565,-654.409739520986
3,8,0,6,0,0,1,0.74428,0,0.74428,0,1,-651.248822806804
3,8,0,6,0,0,1,0.74428,0,0.74428,0,1,-651.256538918936
3,8,0,6,0,0,1,0.74428,0,0.74428,0,1,-651.244856707833
4,1,0,6,0,0,0.64571,1,0,1,0,0.64571,-650.215100483381
4,1,0,6,0,0,0.64571,1,0,1,0,0.64571,-650.151143028999
4,1,0,6,0,0,0.64571,1,0,1,0,0.64571,-650.152158936417
4,1,0,6,0,0,0.64571,1,0,1,0,0.64571,-650.214828190524
4,2,0.5,5.5,0.234282,0.5,0.557137,-0.102329,1,-0.113967,0.468565,0.468565,-655.430118233429
4,2,0.5,5.5,0.234282,0.5,0.557137,-0.102329,1,0.015269,0.468565,0.64571,-655.59598090236
4,2,0.5,5.5,0.234282,0.5,0.557137,-0.102329,0,-0.009999,0,0.64571,-649.58323717667
4,2,0.5,5.5,0.234282,0.5,0.557137,-0.102329,0,-0.300619,0,0.468565,-649.701045360076
4,3,1,5,0.351423,0.610051,0.557137,0.11937,0.813401,0.119615,0.468565,0.468565,-660.950120010107
4,3,1,5,0.351423,0.610051,0.557137,0.11937,0.813401,0.237892,0.468565,0.64571,-656.589939777432
4,3,1,5,0.351423,0.610051,0.557137,0.11937,0.813401,0.194359,0.468565,0.468565,-656.313184043795
4,3,1,5,0.351423,0.610051,0.557137,0.11937,0,-0.074386,0,0.64571,-650.001984169997
4,4,1,5,0.351423,0.610051,0.468565,0.10833,0.813401,0.314798,0.468565,0.468565,-661.022107474992
4,4,1,5,0.351423,0.610051,0.468565,0.10833,0,-0.09607,0,0.468565,-650.158454244989
4,4,1,5,0.351423,0.610051,0.468565,0.10833,0.813401,0.249411,0.468565,0.468565,-656.229712960427
4,4,1,5,0.351423,0.610051,0.468565,0.10833,0.813401,-0.03482,0.468565,0.468565,-656.137509046102
4,5,1,5,0.468565,1,0.468565,-0.161732,1,0.008339,0.468565,0.468565,-655.818695620479
4,5,1,5,0.468565,1,0.468565,-0.161732,1,-0.158751,0.468565,0.468565,-656.062745547231
4,5,1,5,0.468565,1,0.468565,-0.161732,1,-0.158751,0.468565,0.468565,-656.062438097998
4,5,1,5,0.468565,1,0.468565,-0.161732,1,-0.337765,0.468565,0.468565,-656.135179316866
4,6,1,5,0.468565,1,0.557137,0.469374,1,0.427058,0.468565,0.468565,-655.893382588715
4,6,1,5,0.468565,1,0.557137,0.469374,1,0.427058,0.468565,0.468565,-655.892909876149
4,6,1,5,0.468565,1,0.557137,0.469374,1,0.51169,0.468565,0.64571,-655.961998337583
4,6,1,5,0.468565,1,0.557137,0.469374,1,0.51169,0.468565,0.64571,-655.962124716521
4,7,1,5,0.468565,1,0.64571,0.86047,1,0.86047,0.468565,0.64571,-656.12085353815
4,7,1,5,0.468565,1,0.64571,0.86047,1,0.86047,0.468565,0.64571,-656.119910614415
4,7,1,5,0.468565,1,0.64571,0.86047,1,0.86047,0.468565,0.64571,-656.119783056793
4,7,1,5,0.468565,1,0.64571,0.86047,1,0.86047,0.468565,0.64571,-656.121030301406
4,8,1,5,0.351423,0.75,0.64571,0.449101,1,0.533925,0.468565,0.64571,-656.308790399813
4,8,1,5,0.351423,0.75,0.64571,0.449101,1,0.615803,0.468565,0.64571,-656.308801205783
4,8,1,5,0.351423,0.75,0.64571,0.449101,1,0.543609,0.468565,0.64571,-663.366049781256
4,8,1,5,0.351423,0.75,0.64571,0.449101,0,0.103066,0,0.64571,-649.957835523659
4,9,1.5,4.5,0.468565,0.883376,0.557137,0.597594,0.813401,0.69636,0.468565,0.64571,-662.005791721874
4,9,1.5,4.5,0.468565,0.883376,0.557137,0.597594,1,0.658164,0.468565,0.64571,-656.141534046657
4,9,1.5,4.5,0.468565,0.883376,0.557137,0.597594,0.9067,0.603984,0.468565,0.468565,-663.11064031124
4,9,1.5,4.5,0.468565,0.883376,0.557137,0.597594,0.813401,0.431867,0.468565,0.468565,-656.475602837003
4,10,2,4,0.468565,0.661248,0.468565,0.418072,0.646022,0.470371,0.468565,0.468565,-654.251572813465
4,10,2,4,0.468565,0.661248,0.468565,0.418072,0.612119,0.51929,0.468565,0.468565,-659.257514419299
4,10,2,4,0.468565,0.661248,0.468565,0.418072,0.646022,0.470371,0.468565,0.468565,-654.251539301147
4,10,2,4,0.468565,0.661248,0.468565,0.418072,0.740829,0.212255,0.468565,0.468565,-657.573680250649
4,11,1.5,4.5,0.351423,0.55821,0.557137,0.216313,0.74428,0.256688,0.468565,0.468565,-652.976778379487
4,11,1.5,4.5,0.351423,0.55821,0.557137,0.216313,0.74428,0.256688,0.468565,0.468565,-652.976983960604
4,11,1.5,4.5,0.351423,0.55821,0.557137,0.216313,0,0.037277,0,0.64571,-650.249830010965
4,11,1.5,4.5,0.351423,0.55821,0.557137,0.216313,0.74428,0.314599,0.468565,0.64571,-653.602569359742
4,12,1.5,4.5,0.468565,0.796121,0.557137,0.166013,0.778841,0.167298,0.468565,0.468565,-661.932386938663
4,12,1.5,4.5,0.468565,0.796121,0.557137,0.166013,0.778841,0.167298,0.468565,0.468565,-661.932648656737
4,12,1.5,4.5,0.468565,0.796121,0.557137,0.166013,0.813401,0.164728,0.468565,0.64571,-656.874065088268
4,12,1.5,4.5,0.468565,0.796121,0.557137,0.166013,0.813401,0.164728,0.468565,0.64571,-656.873875756884
4,13,0.5,5.5,0.234282,0.5,0.734282,0.458134,1,0.502285,0.468565,0.822855,-656.602270788245
4,13,0.5,5.5,0.234282,0.5,0.734282,0.458134,0,0.473954,0,0.822855,-649.858896996976
